start_f0,end_f0,mean_f0,max_f0,min_f0,slope,TCoG,filename,cluster_label
0.8938454212,0.4409739392,0.7860855915,0.247588942,1.495244227,-0.1224705577,-0.404267574,SDRW2200000450.1.1.122_F,1
1.387244393,0.4357300124,1.035117148,0.6053076049,1.485531994,-0.7164776793,-1.126793542,SDRW2200000450.1.1.157_F,1
-0.4229866607,-0.6394167045,-0.6961392223,-0.7071260829,-0.5057380909,-1.062286716,0.4034799694,SDRW2200000450.1.1.195_F,0
-0.8903629156,-1.129794722,-1.302094834,-1.045978044,-1.413963044,-0.4085003064,1.048609712,SDRW2200000450.1.1.329_F,0
-0.3928333539,-1.084158386,-1.012934468,-0.685264666,-1.329440375,-0.7726974993,0.9433851361,SDRW2200000450.1.1.46_F,0
0.3192803566,-0.4181796856,-0.1503238844,-0.1689758634,-0.09598689088,-0.7259073854,-0.3372904938,SDRW2200000450.1.1.69_F,0
0.1596330544,0.06950550457,0.1321659937,-0.2847215839,0.8072506999,0.001231579839,-0.1240497145,SDRW2200000451.1.1.105_F,0
0.5181682636,2.296473651,1.979679443,2.00937956,1.365835295,1.439778776,-0.5771726323,SDRW2200000451.1.1.120_F,1
1.521695096,0.4004398025,1.077681215,0.7027855662,1.420171297,-0.5015421359,-1.258857309,SDRW2200000451.1.1.146_F,0
-0.1920866814,2.69416172,1.912656919,2.429538023,0.4631226902,1.90883948,0.3108067269,SDRW2200000451.1.1.171_F,1
0.3298133611,-0.5134207341,-0.2160758388,-0.161339341,-0.2723820263,-0.8366553142,1.240352761,SDRW2200000451.1.1.187_F,0
-0.7269980823,-0.3858657585,-0.6625750201,-0.8245188965,-0.216733561,0.2091161118,0.4872947402,SDRW2200000451.1.1.214_F,0
-0.6906488906,1.591236364,0.8330966507,1.26429456,-0.170534835,2.04490237,1.117015578,SDRW2200000451.1.1.251_F,1
-0.5754054305,-0.144503399,-0.4045435985,-0.5695189455,-0.02406387435,0.2841691485,-0.560290979,SDRW2200000451.1.1.276_F,0
-0.4967176916,1.309339868,0.7219218486,0.9664701896,0.07594586761,2.030320016,0.4945705569,SDRW2200000451.1.1.281_F,1
1.96077681,3.081220207,3.305518368,2.838466306,3.199347231,1.716745457,0.9022800688,SDRW2200000451.1.1.30_F,1
-0.3882897049,-0.04515224576,-0.2343932109,-0.4645541976,0.2137545672,0.3355212048,1.189663838,SDRW2200000451.1.1.78_F,0
-0.7856524599,0.4300609024,-0.08308959932,0.03750971056,-0.2912815051,0.8625899685,0.4949662207,SDRW2200000451.1.1.87_F,0
-0.3781697595,2.743482977,1.854104857,2.481646058,0.2266167125,1.843897866,-0.1934007771,SDRW2200000452.1.1.131_F,1
-0.2158375738,-0.08781229872,-0.177852883,-0.5096246528,0.4329360226,0.1102884571,0.07736511503,SDRW2200000452.1.1.175_F,0
1.414299757,1.650762019,1.956703317,1.327183567,2.504791386,0.5450189523,-0.5307920484,SDRW2200000452.1.1.199_F,1
0.9396949699,2.295765013,2.195252678,2.008630882,1.901583021,1.604433993,0.7294629359,SDRW2200000452.1.1.209_F,1
0.2546366236,1.953492495,1.58834414,1.64701909,1.030894532,1.900625506,-0.5657863088,SDRW2200000452.1.1.222_F,1
1.709223881,-0.2111154418,0.3660918947,0.8387456105,0.2788527719,-1.191614902,1.157043561,SDRW2200000452.1.1.229_F,0
-0.450042025,1.115172849,0.6007942547,0.7613322373,0.1352692316,1.527935512,1.54255194,SDRW2200000452.1.1.236_F,1
-0.5334799423,1.387006675,0.7610977312,1.048525371,0.02922215615,1.836022452,-0.0557977178,SDRW2200000452.1.1.253_F,1
-0.1065834691,-0.2581690551,-0.2491106371,-0.477730942,0.2003674363,-0.2569702804,1.348083207,SDRW2200000452.1.1.35_F,0
-0.2713940088,-0.3638979571,-0.4125905366,-0.5972200558,0.004547836606,-0.1697662189,-0.4588032274,SDRW2200000452.1.1.39_F,0
0.1716117653,2.707767584,1.764353263,2.443912654,0.9253724424,1.884092568,1.55670791,SDRW2200000452.1.1.45_F,1
-0.2645785354,2.391431244,1.64933146,2.109702501,0.370987731,1.880044738,0.5685816593,SDRW2200000452.1.1.46_F,1
0.0879673184,-0.2967190033,-0.1781705253,-0.3366798828,0.1289694053,-0.257113577,0.5502932016,SDRW2200000452.1.1.57_F,0
-0.5749923715,1.389557775,0.7417215514,1.051220614,-0.02353888883,1.389050712,1.104596132,SDRW2200000452.1.1.59_F,1
-0.3325267404,2.955224237,2.035690367,2.705351241,0.2846276126,3.280341644,1.006669355,SDRW2200000452.1.1.68_F,1
-0.6706155293,2.412690407,1.457051992,2.13216286,-0.1450730372,2.580183096,1.555257142,SDRW2200000452.1.1.71_F,1
-0.04297238359,2.373006637,1.74917702,2.090236856,0.6526424636,2.097052776,-0.1356998138,SDRW2200000452.1.1.8_F,1
-0.5908951429,2.746175804,1.747059405,2.484491037,-0.04375083143,1.73547183,-0.1806735932,SDRW2200000452.1.1.91_F,1
